timestamp,unit_price,economy_type
00:30:00,0.08988,Economy 5
01:00:00,0.08988,Economy 5
01:30:00,0.08988,Economy 5
02:00:00,0.08988,Economy 5
02:30:00,0.08988,Economy 5
03:00:00,0.08988,Economy 5
03:30:00,0.08988,Economy 5
04:00:00,0.08988,Economy 5
04:30:00,0.08988,Economy 5
05:00:00,0.08988,Economy 5
05:30:00,0.288,Economy 5
06:00:00,0.288,Economy 5
06:30:00,0.288,Economy 5
07:00:00,0.288,Economy 5
07:30:00,0.288,Economy 5
08:00:00,0.288,Economy 5
08:30:00,0.288,Economy 5
09:00:00,0.288,Economy 5
09:30:00,0.288,Economy 5
10:00:00,0.288,Economy 5
10:30:00,0.288,Economy 5
11:00:00,0.288,Economy 5
11:30:00,0.288,Economy 5
12:00:00,0.288,Economy 5
12:30:00,0.288,Economy 5
13:00:00,0.288,Economy 5
13:30:00,0.288,Economy 5
14:00:00,0.288,Economy 5
14:30:00,0.288,Economy 5
15:00:00,0.288,Economy 5
15:30:00,0.288,Economy 5
16:00:00,0.288,Economy 5
16:30:00,0.288,Economy 5
17:00:00,0.288,Economy 5
17:30:00,0.288,Economy 5
18:00:00,0.288,Economy 5
18:30:00,0.288,Economy 5
19:00:00,0.288,Economy 5
19:30:00,0.288,Economy 5
20:00:00,0.288,Economy 5
20:30:00,0.288,Economy 5
21:00:00,0.288,Economy 5
21:30:00,0.288,Economy 5
22:00:00,0.288,Economy 5
22:30:00,0.288,Economy 5
23:00:00,0.288,Economy 5
23:30:00,0.288,Economy 5
00:00:00,0.288,Economy 5
00:30:00,0.08988,Economy 7
01:00:00,0.08988,Economy 7
01:30:00,0.08988,Economy 7
02:00:00,0.08988,Economy 7
02:30:00,0.08988,Economy 7
03:00:00,0.08988,Economy 7
03:30:00,0.08988,Economy 7
04:00:00,0.08988,Economy 7
04:30:00,0.08988,Economy 7
05:00:00,0.08988,Economy 7
05:30:00,0.08988,Economy 7
06:00:00,0.08988,Economy 7
06:30:00,0.08988,Economy 7
07:00:00,0.08988,Economy 7
07:30:00,0.288,Economy 7
08:00:00,0.288,Economy 7
08:30:00,0.288,Economy 7
09:00:00,0.288,Economy 7
09:30:00,0.288,Economy 7
10:00:00,0.288,Economy 7
10:30:00,0.288,Economy 7
11:00:00,0.288,Economy 7
11:30:00,0.288,Economy 7
12:00:00,0.288,Economy 7
12:30:00,0.288,Economy 7
13:00:00,0.288,Economy 7
13:30:00,0.288,Economy 7
14:00:00,0.288,Economy 7
14:30:00,0.288,Economy 7
15:00:00,0.288,Economy 7
15:30:00,0.288,Economy 7
16:00:00,0.288,Economy 7
16:30:00,0.288,Economy 7
17:00:00,0.288,Economy 7
17:30:00,0.288,Economy 7
18:00:00,0.288,Economy 7
18:30:00,0.288,Economy 7
19:00:00,0.288,Economy 7
19:30:00,0.288,Economy 7
20:00:00,0.288,Economy 7
20:30:00,0.288,Economy 7
21:00:00,0.288,Economy 7
21:30:00,0.288,Economy 7
22:00:00,0.288,Economy 7
22:30:00,0.288,Economy 7
23:00:00,0.288,Economy 7
23:30:00,0.288,Economy 7
00:00:00,0.288,Economy 7
